match_no,innings,over,runs,wickets
30,1,2,9,1
30,1,3,10,0
30,1,4,6,1
30,1,5,5,0
30,1,6,14,1
30,1,7,8,0
30,1,8,4,0
30,1,9,10,0
30,1,10,7,0
30,1,11,13,0
30,1,12,7,0
30,1,13,3,1
30,1,14,5,0
30,1,15,19,0
30,1,16,4,0
30,1,17,15,0
30,1,18,26,0
30,1,19,10,1
30,1,20,22,0
30,2,1,1,1
30,2,2,18,1
30,2,3,10,0
30,2,4,6,0
30,2,5,6,1
30,2,6,4,0
30,2,7,8,0
30,2,8,3,2
30,2,9,8,0
30,2,10,7,0
30,2,11,8,1
30,2,12,6,0
30,2,13,1,2
30,2,14,4,0
30,2,15,9,0
30,2,16,1,2
31,1,1,9,0
31,1,2,6,0
31,1,3,11,0
31,1,4,10,0
31,1,5,20,0
31,1,6,11,0
31,1,7,7,0
31,1,8,8,0
31,1,9,16,1
31,1,10,6,0
31,1,11,22,0
31,1,12,12,0
31,1,13,13,0
31,1,14,9,0
31,1,15,23,1
31,1,16,6,0
31,1,17,13,0
31,1,18,14,0
31,1,19,6,0
31,1,20,20,0
31,2,1,8,0
31,2,2,13,0
31,2,3,8,1
31,2,4,16,0
31,2,5,9,0
31,2,6,5,0
31,2,7,8,0
31,2,8,19,0
31,2,9,12,0
31,2,10,9,1
31,2,11,2,2
31,2,12,9,0
31,2,13,12,0
31,2,14,16,0
31,2,15,9,0
31,2,16,12,1
31,2,17,10,0
31,2,18,9,1
31,2,19,6,0
31,2,20,3,3
32,1,1,7,0
32,1,2,13,0
32,1,3,12,2
32,1,4,0,1
32,1,5,5,0
32,1,6,7,0
32,1,7,10,0
32,1,8,6,0
32,1,9,2,1
32,1,10,14,0
32,1,11,4,1
32,1,12,3,0
32,1,13,6,0
32,1,14,6,0
32,1,15,12,0
32,1,16,3,1
32,1,17,6,0
32,1,18,11,0
32,1,19,12,0
32,1,20,20,0
32,2,1,9,1
32,2,2,1,1
32,2,3,6,1
32,2,4,6,0
32,2,5,0,0
32,2,6,9,0
32,2,7,9,0
32,2,8,4,0
32,2,9,6,0
32,2,10,5,1
32,2,11,7,0
32,2,12,12,0
32,2,13,6,0
32,2,14,9,0
32,2,15,10,1
32,2,16,12,1
32,2,17,3,2
32,2,18,5,2
33,1,1,7,0
33,1,2,19,0
33,1,3,6,1
33,1,4,19,0
33,1,5,13,0
33,1,6,9,1
33,1,7,10,0
33,1,8,8,0
33,1,9,5,1
33,1,10,15,0
33,1,11,11,1
33,1,12,6,0
33,1,13,3,0
33,1,14,14,0
33,1,15,4,0
33,1,16,15,0
33,1,17,2,1
33,1,18,15,1
33,1,19,10,0
33,1,20,16,0
33,2,1,7,1
33,2,2,4,1
33,2,3,0,1
33,2,4,6,0
33,2,5,7,0
33,2,6,5,0
33,2,7,1,0
33,2,8,16,0
33,2,9,10,0
33,2,10,13,0
33,2,11,9,0
33,2,12,7,1
33,2,13,2,2
33,2,14,3,1
33,2,15,4,0
33,2,16,5,0
